2020/06/01 11:57:30.328127,0,100,DOGE,deposit
2020/06/01 11:57:35.334211,9495,20,BTC/USDT,ask
2020/06/01 12:00:10.488096,9493.81,1,BTC/uSDT,ask
2020/06/01 12:00:15.492494,9501,1,BTC/USDT,ask
2020/06/01 12:00:15.492494,9501,0.464219,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.3,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.0429481,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.0260941,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.166739,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,1.8,BTC/USDT,ask
2020/06/01 12:00:15.492494,0,20,DOGE/BTC,ask
2020/06/01 12:00:15.492494,0.002425,20,DOGE/USDT,ask
2020/06/01 12:00:15.492494,0.024572,1,ETH/BTC,ask
2020/06/01 12:00:15.492494,233.949,1,ETH/USDT,ask
2020/06/01 12:00:15.492494,9501,0.464219,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.3,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.0429481,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.0260941,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.2,BTC/USDT,asksale
2020/06/01 12:00:15.492494,9501,0.766739,BTC/USDT,asksale
2020/06/01 12:00:15.492494,0,20,DOGE/BTC,asksale
2020/06/01 12:00:15.492494,0.002425,20,DOGE/USDT,asksale
2020/06/01 12:00:15.492494,0.024572,1,ETH/BTC,asksale
2020/06/01 12:00:15.492494,233.949,1,ETH/USDT,asksale
2020/06/01 12:00:15.492494,9501,1.44491,BTC/USDT,ask
2020/06/01 12:00:15.492494,9501,1.44491,BTC/USDT,ask
2020/06/01 12:00:15.492494,9501,1.44491,BTC/USDT,ask
2020/06/01 12:00:15.492494,9501,1.44491,BTC/USDT,ask
2020/06/01 12:00:15.492494,9501,1.44491,BTC/USDT,ask
2020/06/01 12:00:15.492494,0,12,DOGE/BTC,ask
2020/06/01 12:00:15.492494,0,12,DOGE/BTC,ask
2020/06/01 12:00:15.492494,0,12,DOGE/BTC,ask
2020/06/01 12:00:15.492494,0,12,DOGE/BTC,ask
2020/06/01 12:00:15.492494,0,12,DOGE/BTC,ask
2020/06/01 12:00:15.492494,0.002425,12,DOGE/USDT,ask
2020/06/01 12:00:15.492494,0.002425,12,DOGE/USDT,ask
2020/06/01 12:00:15.492494,0.002425,12,DOGE/USDT,ask
2020/06/01 12:00:15.492494,0.002425,12,DOGE/USDT,ask
2020/06/01 12:00:15.492494,0.002425,12,DOGE/USDT,ask
2020/06/01 12:00:15.492494,0.024572,0.6,ETH/BTC,ask
2020/06/01 12:00:15.492494,0.024572,0.6,ETH/BTC,ask
2020/06/01 12:00:15.492494,0.024572,0.6,ETH/BTC,ask
2020/06/01 12:00:15.492494,0.024572,0.6,ETH/BTC,ask
2020/06/01 12:00:15.492494,0.024572,0.6,ETH/BTC,ask
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,ask
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,ask
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,ask
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,ask
2020/06/01 12:00:15.492494,233.949,0.6,ETH/USDT,ask
